region,total_export,total_import,export_to_US,import_from_US,us_import_share,us_export_share,us_trade_balance,us_trade_volume
AFG,660916.0,3133140.0,3703.399169921875,89097.5078125,0.028437129465169127,0.005603433976362919,-85394.10864257812,92800.90698242188
ALB,1837204.0,5698814.0,29783.265625,42862.3359375,0.007521273011805614,0.016211191367425718,-13079.0703125,72645.6015625
DZA,67800832.0,45603904.0,14646243.0,2528205.5,0.05543835676875383,0.21601863233772706,12118037.5,17174448.5
AND,602890.0,1134231.0,5640.0771484375,16216.2763671875,0.01429715495978112,0.009355068334915988,-10576.19921875,21856.353515625
AGO,30711744.0,21534192.0,8257859.5,1684576.25,0.07822797576988261,0.26888279284953664,6573283.25,9942435.75
ATG,316149.25,665925.0,2947.81689453125,357385.0,0.5366745504373616,0.00932413059506309,-354437.18310546875,360332.81689453125
ARG,99462400.0,98747392.0,7470963.0,11447695.0,0.11592908701831842,0.07511343985264783,-3976732.0,18918658.0
ARM,1789691.0,3312522.0,35924.4609375,208014.6875,0.0627964697291067,0.020072996365014965,-172090.2265625,243939.1484375
ABW,1202077.0,1931040.0,663050.75,555580.5625,0.28771054069309804,0.5515875854874521,107470.1875,1218631.3125
AUS,304750848.0,303398912.0,26575806.0,68994480.0,0.22740516617277784,0.08720502723588812,-42418674.0,95570286.0
AUT,249346496.0,232450048.0,12548418.0,8175570.0,0.03517129839439741,0.050325222937963404,4372848.0,20723988.0
AZE,11475488.0,9893632.0,80595.921875,508227.0,0.051369102873444254,0.007023311067468329,-427631.078125,588822.921875
BHS,1362409.0,4025463.0,285889.375,3572547.5,0.8874873523865453,0.2098410792941033,-3286658.125,3858436.875
BHR,9507512.0,8706768.0,537007.375,871729.375,0.10012089158686667,0.056482429367430725,-334722.0,1408736.75
BGD,14282608.0,22744688.0,4156773.0,516358.4375,0.022702375055661347,0.29103739317077104,3640414.5625,4673131.4375
BRB,1318347.0,2217559.0,136249.375,1011969.8125,0.45634403075634067,0.10334864417334738,-875720.4375,1148219.1875
BLR,7855619.5,20278470.0,165893.09375,146298.59375,0.007214478890665814,0.021117760827137823,19594.5,312191.6875
BEL,562894464.0,456411520.0,20931644.0,26396802.0,0.05783552965534262,0.03718573434042514,-5465158.0,47328446.0
BLZ,833992.0,890343.25,192701.28125,442027.9375,0.4964691286197767,0.23105890853869102,-249326.65625,634729.21875
BEN,649332.0,1548654.0,7384.7275390625,36981.7109375,0.023879905348450976,0.011372807037174358,-29596.9833984375,44366.4384765625
BMU,492874.0,1816044.0,31177.515625,514863.53125,0.2835082912363357,0.06325656379723824,-483686.015625,546041.046875
BTN,742360.0,1032466.0,4587.94970703125,29780.72265625,0.028844264756660267,0.00618022213889656,-25192.77294921875,34368.67236328125
BOL,11773368.0,7811196.0,826676.8125,1032289.3125,0.1321550902704272,0.07021583055078207,-205612.5,1858966.125
BIH,3557204.0,6780968.0,74638.4921875,62320.375,0.009190483571077167,0.020982347986649066,12318.1171875,136958.8671875
BWA,1471146.0,6812076.0,27407.3359375,61798.484375,0.0090719017778134,0.018629922480501597,-34391.1484375,89205.8203125
BRA,261165056.0,290653696.0,47441944.0,49181232.0,0.16920903699776108,0.18165502202561126,-1739288.0,96623176.0
VGB,520134.625,474138.625,22545.2265625,55548.578125,0.11715682966136749,0.043344983161811235,-33003.3515625,78093.8046875
BRN,8458374.0,4013450.0,368459.4375,196665.53125,0.04900161488245774,0.043561497458022076,171793.90625,565124.96875
BGR,27383256.0,29106488.0,1013093.25,591885.875,0.020335186952132458,0.03699681476884999,421207.375,1604979.125
BFA,524193.0,3103794.0,9667.72265625,78310.859375,0.02523068843325298,0.018443059438508335,-68643.13671875,87978.58203125
BDI,277719.0,677704.0,6113.89453125,18608.08984375,0.027457547607436284,0.022014678618495674,-12494.1953125,24721.984375
KHM,3036238.0,6129554.0,1196872.75,97596.78125,0.01592232995255446,0.3941959589465648,1099275.96875,1294469.53125
CMR,3794620.0,4954388.0,247020.46875,193443.265625,0.03904483573450444,0.06509755094054213,53577.203125,440463.734375
CAN,644238592.0,641535744.0,477152928.0,377091072.0,0.5877943287287825,0.7406462976995951,100061856.0,854244000.0
CPV,443575.25,985372.75,3737.264892578125,30485.55859375,0.03093809788605378,0.00842532330777726,-26748.293701171875,34222.823486328125
CYM,577154.0,1082919.5,8447.759765625,370257.9375,0.3419071662298075,0.01463692492060178,-361810.177734375,378705.697265625
CAF,346736.0,428282.5,3452.59716796875,9708.623046875,0.02266873628241873,0.00995742342291758,-6256.02587890625,13161.22021484375
TCD,1825617.0,940225.0,255720.125,60414.1484375,0.06425499049429657,0.14007326016355018,195305.9765625,316134.2734375
CHL,81806816.0,75539360.0,12845518.0,11083562.0,0.146725654016661,0.15702258843566286,1761956.0,23929080.0
CHN,2019899392.0,1630670848.0,374783520.0,134060280.0,0.08221173522812618,0.18554563731459353,240723240.0,508843800.0
COL,45834848.0,60485504.0,14968792.0,16892810.0,0.2792869180688318,0.32658103284208556,-1924018.0,31861602.0
COG,5428916.0,3840458.0,662879.0,325229.1875,0.08468500046088254,0.12210153923914092,337649.8125,988108.1875
CRI,13700432.0,15603392.0,5940713.5,6181130.5,0.39614017900723125,0.43361504951084756,-240417.0,12121844.0
HRV,15947072.0,24740944.0,1101449.625,571895.25,0.02311533666621613,0.06906908208604062,529554.375,1673344.875
CUB,4968624.0,12909312.0,4011.55810546875,11454.427734375,0.0008872996279255626,0.0008073780800215009,-7442.86962890625,15465.98583984375
CYP,3694708.0,10920064.0,43529.234375,614279.875,0.05625240612142932,0.01178150868079426,-570750.640625,657809.109375
CZE,172508992.0,143921792.0,4784876.0,3898041.5,0.027084442500549186,0.02773696573451661,886834.5,8682917.5
CIV,8131060.0,4764524.0,846075.75,118066.28125,0.024780288912386633,0.10405479113424326,728009.46875,964142.03125
PRK,3085640.0,1395692.0,2026.8111572265625,7244.0625,0.0051903016568125345,0.0006568527622232543,-5217.2513427734375,9270.873657226562
COD,3506100.0,8202320.0,698605.9375,119168.296875,0.014528608597933267,0.19925442443170474,579437.640625,817774.234375
DNK,174734272.0,159715648.0,13196676.0,5844552.5,0.0365934870702212,0.0755242566266565,7352123.5,19041228.5
DJI,460551.0,549434.25,4742.044921875,17768.50390625,0.03233963646469073,0.010296459940104353,-13026.458984375,22510.548828125
DOM,9229352.0,14394152.0,7328240.5,5625808.0,0.39083983551097695,0.7940146285459694,1702432.5,12954048.5
ECU,20996664.0,20580784.0,5505866.5,4306713.5,0.2092589621464372,0.2622257754850961,1199153.0,9812580.0
EGY,31116288.0,46165344.0,2677884.5,4396862.0,0.09524161674177062,0.08606053845497252,-1718977.5,7074746.5
SLV,4667700.0,10457180.0,1976496.75,3206414.5,0.3066232483327245,0.4234412558647728,-1229917.75,5182911.25
ERI,698137.0,485459.5,7229.68017578125,31132.8828125,0.06413075202462822,0.010355675427288985,-23903.20263671875,38362.56298828125
EST,17811996.0,18696760.0,713513.125,318815.875,0.01705193172506894,0.040058010623851475,394697.25,1032329.0
ETH,3015130.75,4736057.5,126496.6328125,301233.75,0.06360432701672224,0.04195394604777919,-174737.1171875,427730.3828125
FJI,1577795.0,1987697.0,199183.609375,49746.1796875,0.025027043703089554,0.12624175471148028,149437.4296875,248929.7890625
FIN,129050624.0,112597728.0,8590415.0,5584112.0,0.04959346959469733,0.06656624147745306,3006303.0,14174527.0
FRA,882020864.0,846682624.0,64796984.0,43000872.0,0.05078747429213806,0.07346423043344244,21796112.0,107797856.0
PYF,840704.0,2520064.0,196251.0625,286803.9375,0.11380819594264273,0.23343657517984928,-90552.875,483055.0
GAB,5898064.0,3922308.0,2489472.5,332997.375,0.08489832389501284,0.4220829919783848,2156475.125,2822469.875
GMB,147590.5,416379.25,2198.900390625,13441.0615234375,0.03228081496241107,0.014898658047943466,-11242.1611328125,15639.9619140625
GEO,4757358.0,7010954.0,111357.578125,181928.09375,0.025949121011206177,0.023407441299351447,-70570.515625,293285.671875
DEU,2120506368.0,1666195456.0,174664544.0,96889536.0,0.058150162186014265,0.08236926171777476,77775008.0,271554080.0
GHA,8595572.0,11148500.0,1170113.25,574101.1875,0.05149582342916088,0.13612977123570136,596012.0625,1744214.4375
GRC,47981984.0,105014592.0,2520603.25,2815631.5,0.02681181201941917,0.052532284825904656,-295028.25,5336234.75
GRL,842340.0,1705571.0,6972.43701171875,7619.19287109375,0.004467238755287086,0.008277461608992509,-646.755859375,14591.6298828125
GTM,9868288.0,14569664.0,3631519.0,5003709.5,0.34343341754483836,0.36799888693965965,-1372190.5,8635228.5
GIN,1570094.0,1920245.0,64770.58203125,145859.0625,0.07595856908884023,0.041252677885050194,-81088.48046875,210629.64453125
GUY,1089024.0,109584512.0,191464.890625,41670504.0,0.38025906434661133,0.17581328843533292,-41479039.109375,41861968.890625
HTI,934120.0,1949437.0,605633.375,837186.875,0.42945059265829055,0.6483464383590973,-231553.5,1442820.25
HND,4993272.0,8849792.0,2936827.75,3786553.0,0.4278691521789439,0.588156974024247,-849725.25,6723380.75
HKG,282087232.0,565729408.0,33011902.0,29264344.0,0.051728518238882144,0.11702728183032403,3747558.0,62276246.0
HUN,118804736.0,110819008.0,8455077.0,2660249.0,0.024005349335016607,0.07116784468928915,5794828.0,11115326.0
ISL,6311350.0,6923764.0,454327.5625,643171.5,0.0928933308529869,0.07198579741259793,-188843.9375,1097499.0625
IND,371428608.0,408935168.0,53624496.0,27853478.0,0.06811220990413816,0.14437362886167346,25771018.0,81477974.0
IDN,251744896.0,203897600.0,19790500.0,17555066.0,0.08609746264791739,0.07861331178686538,2235434.0,37345566.0
IRN,75590656.0,90691584.0,317658.375,406807.3125,0.004485612606567772,0.004202349758679168,-89148.9375,724465.6875
IRQ,27101792.0,22100784.0,8388544.5,39727.87890625,0.0017975778101921632,0.30951992030637676,8348816.62109375,8428272.37890625
IRL,207075616.0,189351424.0,28172480.0,33238760.0,0.1755400582569688,0.13604923913397896,-5066280.0,61411240.0
ISR,81576864.0,85271680.0,25178282.0,11307706.0,0.13260798895952325,0.30864488735433615,13870576.0,36485988.0
ITA,831103488.0,693401600.0,69739640.0,25766132.0,0.03715903164919147,0.08391210120874863,43973508.0,95505772.0
JAM,2737504.0,6496406.0,947970.625,3354936.25,0.5164295842963017,0.3462901332746911,-2406965.625,4302906.875
JPN,1009433600.0,1041280000.0,189553216.0,137048960.0,0.13161585740626922,0.18778175800765895,52504256.0,326602176.0
JOR,7994388.0,17949956.0,243754.4375,1153229.125,0.06424690539631406,0.030490693909277358,-909474.6875,1396983.5625
KAZ,62403680.0,45900000.0,2291498.5,821098.5,0.017888856209150327,0.03672056679990667,1470400.0,3112597.0
KEN,8270968.0,14516072.0,282748.53125,463543.875,0.03193314796179021,0.03418566378808381,-180795.34375,746292.40625
KWT,83580816.0,41213664.0,11809445.0,4360278.0,0.10579690269712491,0.14129372701984627,7449167.0,16169723.0
KGZ,2981192.0,4230693.0,15033.8642578125,126151.921875,0.029818264259543294,0.005042903730391232,-111118.0576171875,141185.7861328125
LAO,1762544.0,1640375.0,13325.24609375,18536.375,0.011300083822296731,0.007560234577831816,-5211.12890625,31861.62109375
LVA,13989740.0,16970876.0,420951.53125,171749.21875,0.010120232965581741,0.030090018202625638,249202.3125,592700.75
LBN,6102596.0,17183876.0,241353.796875,933660.6875,0.05433353263838729,0.039549365036617205,-692306.890625,1175014.484375
LSO,454530.5,2241775.0,117542.59375,46933.4921875,0.020935862068004147,0.25860221426284924,70609.1015625,164476.0859375
LBR,1020454.75,751172.5,103604.7265625,29339.35546875,0.03905807982687066,0.10152799677055745,74265.37109375,132944.08203125
LBY,24940216.0,12012992.0,2624.939208984375,42847.0546875,0.0035667263149346973,0.0001052492572231281,-40222.115478515625,45471.993896484375
LIE,1693768.0,1479844.0,31205.673828125,53825.69921875,0.036372549551675716,0.01842381827270618,-22620.025390625,85031.373046875
LTU,27320480.0,32801392.0,942085.75,379097.4375,0.011557358221260854,0.03448276714025522,562988.3125,1321183.1875
LUX,45444688.0,60814720.0,1812021.75,1479507.0,0.024328106747839997,0.0398731255454983,332514.75,3291528.75
MAC,7681648.0,11695080.0,2972473.0,621698.25,0.053158956586872426,0.38695772053080274,2350774.75,3594171.25
MDG,2546964.0,3390854.0,340579.25,142581.78125,0.04204892963542518,0.13371969529212036,197997.46875,483161.03125
MWI,1191115.0,1804692.0,119934.28125,26188.798828125,0.014511506023257709,0.10069076558518698,93745.482421875,146123.080078125
MYS,306765440.0,251875392.0,32745824.0,24926674.0,0.09896430851013822,0.10674547954293678,7819150.0,57672498.0
MDV,591709.5,1463081.5,53845.99609375,25430.51171875,0.017381473088648854,0.0910007294014208,28415.484375,79276.5078125
MLI,1066338.0,2278152.0,39505.484375,77685.6015625,0.034100271431625286,0.03704780695708115,-38180.1171875,117191.0859375
MLT,5594344.0,6666088.0,949687.3125,363885.4375,0.05458755382467198,0.1697584761501974,585801.875,1313572.75
MRT,2163738.0,2290183.0,5901.6796875,85662.546875,0.03740423663742155,0.002727538956888496,-79760.8671875,91564.2265625
MUS,4182975.0,6830269.0,430436.96875,156315.21875,0.022885660689205653,0.1029021136272629,274121.75,586752.1875
MEX,370865664.0,361816064.0,283285824.0,182933552.0,0.5055982036220481,0.7638502333826191,100352272.0,466219376.0
MCO,924267.0,1083009.0,14036.236328125,39438.09375,0.03641529641027914,0.015186343695193056,-25401.857421875,53474.330078125
MNG,3575548.0,4723218.0,228850.1875,133604.796875,0.028286815657248936,0.06400422746387407,95245.390625,362454.984375
MNE,1236607.0,2361739.0,18746.5390625,62730.3984375,0.026561105370872903,0.015159657888480334,-43983.859375,81476.9375
MAR,26188176.0,29359776.0,1859260.125,816072.125,0.027795584169307015,0.07099616731612007,1043188.0,2675332.25
MOZ,1257192.0,2839034.0,27065.05078125,57994.8828125,0.020427681673590384,0.021528176110928162,-30929.83203125,85059.93359375
MMR,5389936.0,973000.0,312046.40625,24699.76171875,0.025385161067574512,0.057894269291880275,287346.64453125,336746.16796875
NAM,2963214.0,5747842.0,52434.66015625,56969.48828125,0.00991145690526114,0.017695198577034936,-4534.828125,109404.1484375
NPL,3433856.0,5870920.0,218625.84375,120575.046875,0.02053767499386808,0.0636677378870867,98050.796875,339200.890625
NLD,739929344.0,637055104.0,36947144.0,47524344.0,0.07460005218010152,0.0499333406623214,-10577200.0,84471488.0
ANT,2963017.0,3256578.0,416291.875,641515.8125,0.19699077144782037,0.14049594551769362,-225223.9375,1057807.6875
NCL,1579676.0,2449846.0,56983.859375,41689.078125,0.017017019896352667,0.036073131056621736,15294.78125,98672.9375
NZL,65269568.0,50794016.0,5053203.0,7709516.5,0.15178001479544362,0.07742050629169171,-2656313.5,12762719.5
NIC,2238024.0,4509826.0,706967.875,1198633.75,0.26578270425510875,0.3158893179876534,-491665.875,1905601.625
NER,981427.0,1777953.0,12922.87890625,106888.6171875,0.06011892169674901,0.013167437727156478,-93965.73828125,119811.49609375
NGA,40761120.0,52577632.0,16905270.0,3850180.25,0.07322848335961574,0.41474007583697403,13055089.75,20755450.25
NOR,169491840.0,132973952.0,9841922.0,8948894.0,0.06729809760034808,0.05806723202721736,893028.0,18790816.0
PSE,654997.0,3782657.0,12680.73046875,171514.96875,0.04534245868710803,0.0193599825170955,-158834.23828125,184195.69921875
OMN,26711896.0,17818224.0,2585355.5,601714.75,0.03376962541272351,0.09678667137667801,1983640.75,3187070.25
PAK,28381376.0,25644896.0,4492089.0,1388047.25,0.054125672804444205,0.15827594123695765,3104041.75,5880136.25
PAN,11090272.0,17606136.0,1476173.0,6451868.0,0.3664556493258941,0.13310521148624668,-4975695.0,7928041.0
PNG,5461940.0,5482496.0,38635.859375,89648.015625,0.016351679166751787,0.007073651372039971,-51012.15625,128283.875
PRY,7576108.0,10160728.0,357596.96875,427682.8125,0.042091748986883615,0.04720061656328025,-70085.84375,785279.78125
PER,26708384.0,37393056.0,5220526.0,6506155.0,0.1739936687710146,0.1954639412103705,-1285629.0,11726681.0
PHL,107764608.0,95724736.0,22116212.0,10071014.0,0.10520806241763885,0.20522704448569978,12045198.0,32187226.0
POL,179549696.0,199345152.0,4397616.0,5810512.5,0.029148000047676103,0.024492472546430822,-1412896.5,10208128.5
PRT,74148640.0,101878336.0,4374260.0,1637757.75,0.016075623280694337,0.05899312516048845,2736502.25,6012017.75
QAT,40178976.0,20174064.0,1315698.625,1602103.5,0.07941401891061711,0.032745947159031626,-286404.875,2917802.125
KOR,630864384.0,630516736.0,70748880.0,70425176.0,0.11169438014727019,0.11214594102050307,323704.0,141174056.0
MDA,665513.25,3389799.75,53750.1484375,136961.375,0.040403972240543116,0.08076495612596744,-83211.2265625,190711.5234375
ROU,60548448.0,77287232.0,2903864.5,1812890.25,0.023456529663269606,0.04795935479634424,1090974.25,4716754.75
RUS,470083072.0,327012096.0,22771946.0,13699104.0,0.0418917347938102,0.0484423867958385,9072842.0,36471050.0
RWA,337905.0,1718935.0,16872.72265625,100525.234375,0.05848111439641406,0.04993333231603557,-83652.51171875,117397.95703125
WSM,290438.875,330979.25,10372.7734375,28607.09375,0.08643168340613498,0.035714135848722045,-18234.3203125,38979.8671875
SMR,1354388.25,1426164.75,37208.97265625,17071.2578125,0.011970046106173918,0.027472899780583596,20137.71484375,54280.23046875
STP,271351.3125,225674.0625,2246.03955078125,5590.966796875,0.024774520983664217,0.00827723857344987,-3344.92724609375,7837.00634765625
SAU,148940416.0,172814400.0,21898796.0,21442848.0,0.12408021553759409,0.1470305816790521,455948.0,43341644.0
SEN,2814944.0,4713144.0,34988.9453125,110745.15625,0.02349708734763886,0.012429712744729558,-75756.2109375,145734.1015625
SRB,7409584.0,10623528.0,173389.515625,332457.5625,0.03129445910059257,0.023400708545176084,-159068.046875,505847.078125
SYC,760507.75,946495.5,38632.984375,19295.1484375,0.020385885022696885,0.050798935809661376,19337.8359375,57928.1328125
SLE,700807.0,1110313.0,37436.21484375,47032.015625,0.04235924070509847,0.0534187227635426,-9595.80078125,84468.23046875
SGP,455210816.0,438776128.0,41111896.0,55159372.0,0.12571188011395187,0.09031397004415642,-14047476.0,96271268.0
SVK,74629184.0,86974432.0,858736.75,1081155.625,0.012430729355036202,0.0115067149869949,-222418.875,1939892.375
SVN,37715384.0,34313512.0,1786965.25,599793.375,0.017479801397187206,0.047380274585034056,1187171.875,2386758.625
SOM,128534.25,91250.75,1533.486572265625,3151.485595703125,0.034536544584051365,0.011930567706783406,-1617.9990234375,4684.97216796875
ZAF,122002688.0,110727616.0,9031918.0,9921930.0,0.08960664338695777,0.07403048365622895,-890012.0,18953848.0
SDS,576186.0,972032.0,5059.0703125,31740.9296875,0.03265420242080508,0.008780272884971173,-26681.859375,36800.0
ESP,462039296.0,494298368.0,23347780.0,19135530.0,0.03871250895977063,0.050532022280633034,4212250.0,42483310.0
LKA,12649392.0,16208992.0,2933188.25,327960.5,0.02023324460891831,0.2318837340166231,2605227.75,3261148.75
SDN,104944.0,109216.0,1308.662841796875,3770.1181640625,0.034519833761193414,0.012470106359552476,-2461.455322265625,5078.781005859375
SUR,1429332.0,1532242.5,172505.375,300140.375,0.19588307660177812,0.1206895074062569,-127635.0,472645.75
SWZ,1577587.0,3070519.0,94462.71875,8654.42578125,0.0028185547072823846,0.05987797741107147,85808.29296875,103117.14453125
SWE,274379392.0,239606272.0,20987966.0,11157809.0,0.04656726598542462,0.07649250130272174,9830157.0,32145775.0
CHE,360827776.0,304547584.0,34425288.0,24377454.0,0.08004481165084534,0.0954064245874464,10047834.0,58802742.0
SYR,11049904.0,9968776.0,188239.9375,325591.96875,0.032661178137616896,0.01703543646171044,-137352.03125,513831.90625
TWN,172866912.0,111170784.0,29860254.0,21445430.0,0.19290526906781552,0.1727355088057569,8414824.0,51305684.0
TJK,1824430.0,2888159.0,4504.71240234375,62084.6328125,0.02149626554926512,0.00246910673599083,-57579.92041015625,66589.34521484375
THA,250662656.0,223419648.0,35170032.0,16681050.0,0.07466241285994686,0.14030822365498274,18488982.0,51851082.0
MKD,5113034.0,7176756.0,225577.6875,99541.015625,0.013869917776917593,0.044118166923982904,126036.671875,325118.703125
TGO,1276634.0,1631457.0,8957.3955078125,28355.08984375,0.017380225064926626,0.007016416222513657,-19397.6943359375,37312.4853515625
TTO,26867800.0,7045052.0,14187642.0,2721872.5,0.38635236475188545,0.5280537297434104,11465769.5,16909514.5
TUN,15374320.0,23151000.0,223179.28125,664883.75,0.02871943976502095,0.014516367634470988,-441704.46875,888063.03125
TUR,147824128.0,225190400.0,11011815.0,8523512.0,0.03785024583641221,0.07449267686530849,2488303.0,19535327.0
TKM,5296920.0,14882240.0,61847.31640625,238264.75,0.01601000588621068,0.011676090332919886,-176417.43359375,300112.06640625
UGA,1337756.0,6186564.0,53664.453125,108563.5703125,0.017548282101745007,0.04011527746838736,-54899.1171875,162228.0234375
UKR,78919904.0,93955552.0,2288586.75,728070.625,0.007749096349303552,0.02899885369855493,1560516.125,3016657.375
ARE,145257216.0,166980736.0,4184268.25,10575914.0,0.06333613237876733,0.028805923486789117,-6391645.75,14760182.25
GBR,805290496.0,949844992.0,75386728.0,80459552.0,0.08470808676959367,0.09361432722037241,-5072824.0,155846280.0
TZA,1632724.0,10163968.0,124670.8828125,211674.25,0.02082594612655215,0.0763575979850238,-87003.3671875,336345.1328125
URY,8267624.0,13723320.0,547046.1875,827954.6875,0.060331952289970646,0.06616727943844568,-280908.5,1375000.875
UZB,9500608.0,9005152.0,51614.8359375,527526.4375,0.05858051452102086,0.00543279292625272,-475911.6015625,579141.2734375
VUT,462526.5,409189.25,4439.9619140625,9368.4521484375,0.02289515706592365,0.009599367634205824,-4928.490234375,13808.4140625
VEN,140707840.0,56781696.0,97840280.0,13573674.0,0.23905016856136174,0.6953434861909613,84266606.0,111413954.0
VNM,36010512.0,95054560.0,1181139.375,2492467.5,0.02622144061263342,0.03279984952727137,-1311328.125,3673606.875
YEM,6058876.0,5818884.0,128836.921875,285984.125,0.04914758998460873,0.021264162177110076,-157147.203125,414821.046875
ZMB,5386008.0,5265436.0,40814.953125,112265.5703125,0.021321229678321035,0.007577959989105104,-71450.6171875,153080.5234375
ZWE,172509.828125,4146352.75,4370.0849609375,110802.2890625,0.02672283226806981,0.02533238255718945,-106432.2041015625,115172.3740234375
