,us_trade_volume,absolute_difference,relative_loss
ABW,1218631.3125,408325.9999998808,0.04658529749932416
MAC,3594171.25,2761954.9999990463,0.04505477884166886
ETH,427730.3828125,374590.9999998808,0.043696503924461894
TTO,16909514.5,2433637.9999990463,0.04183862757902723
BHS,3858436.875,1176946.9999995232,0.04071570395245416
ISL,1097499.0625,1663206.0,0.03559433423578895
MLT,1313572.75,980256.0,0.03433316068963688
BHR,1408736.75,2331161.9999990463,0.03259164818241178
BRN,565124.96875,1062848.9999995232,0.03182843007947245
VGB,78093.8046875,69490.9999999702,0.02908096374909519
LVA,592700.75,2533708.9999980927,0.028801242046716524
LTU,1321183.1875,3301123.9999980927,0.02810066586567128
MDV,79276.5078125,233561.9999998808,0.02779996125701345
CYP,657809.109375,2361967.9999980927,0.026539264292257947
LUX,3291528.75,4618773.0,0.026304901086104948
ZWE,115172.3740234375,79516.9999999404,0.02581387545554925
CZE,8682917.5,14789308.99999237,0.025412992389273192
FJI,248929.7890625,335188.0,0.02537811719851568
BRB,1148219.1875,391959.9999997616,0.025018262163301053
ANT,1057807.6875,351449.0,0.024595847849351316
SYC,57928.1328125,131860.9999998808,0.024201128166678743
NCL,98672.9375,792577.9999995232,0.023780153334795884
SVN,2386758.625,3827379.9999980927,0.023587972035898908
JAM,4302906.875,1232991.0,0.022445594900921684
MNG,362454.984375,527321.0,0.022053798913357348
JOR,1396983.5625,2515569.9999980927,0.021632626843803848
CHN,508843800.0,409755696.0,0.021192346950527075
TWN,51305684.0,13763436.99999237,0.02078883257063957
HRV,1673344.875,4098944.9999961853,0.020762860389034188
SVK,1939892.375,7131468.999992371,0.02049193964401841
PYF,483055.0,515265.99999952316,0.020105538253312183
CRI,12121844.0,2557012.9999980927,0.01915025445309304
PAN,7928041.0,2145655.9999980927,0.018953092436202468
ARE,14760182.25,21716800.99998474,0.0188646650919555
GAB,2822469.875,1235067.9999990463,0.018289853067865458
OMN,3187070.25,3367220.0,0.018175290804700595
TKM,300112.06640625,1441806.9999990463,0.018019966991333902
GRL,14591.6298828125,171269.9999998808,0.0175671305786107
SMR,54280.23046875,111698.0,0.017375894302884554
AND,21856.353515625,199673.0,0.017121353005422613
BGR,1604979.125,2831160.9999961853,0.01706692150982292
AGO,9942435.75,4507178.999996185,0.01690439645405384
MKD,325118.703125,706637.9999990463,0.016858057838287088
LBN,1175014.484375,2474839.9999980927,0.016845448384250616
MUS,586752.1875,617021.9999995232,0.01675085469579063
URY,1375000.875,2388483.9999980927,0.016454381387132067
SAU,43341644.0,27611038.0,0.01635347196771164
FIN,14174527.0,10712218.999984741,0.016088003951031382
DOM,12954048.5,3027423.0,0.016000902940049855
HND,6723380.75,978986.9999990463,0.015616099445336928
VNM,3673606.875,5098098.999996185,0.015057091437609138
DZA,17174448.5,8556595.99999237,0.014383133239537216
MRT,91564.2265625,191742.99999976158,0.014144221540202118
POL,10208128.5,22071834.0,0.013978765392352877
NIC,1905601.625,534491.9999995232,0.013973277451917454
BMU,546041.046875,303530.99999952316,0.013951543671741895
TZA,336345.1328125,657604.0,0.013650932255893089
BIH,136958.8671875,902311.9999990463,0.013381097119680163
LSO,164476.0859375,144669.0,0.013191854254990254
ALB,72645.6015625,701924.0,0.013160531359002192
NAM,109404.1484375,562154.9999990463,0.012678595338133647
GHA,1744214.4375,1555155.9999980927,0.012642098921822331
BLZ,634729.21875,59172.999999940395,0.012435879107397518
HUN,11115326.0,4551451.0,0.01223894949409221
SLV,5182911.25,1037240.9999990463,0.012209960898013072
AUT,20723988.0,13859508.999984741,0.012074085080637786
NOR,18790816.0,13267841.999984741,0.01206801130677615
ISR,36485988.0,8504770.0,0.012009076296681798
TUN,888063.03125,2060945.9999961853,0.011915628190117822
BOL,1858966.125,732758.9999990463,0.011726652011878613
PER,11726681.0,5847430.999992371,0.011722471537467527
GRC,5336234.75,10794119.999984741,0.011067773599782171
GTM,8635228.5,1793989.9999980927,0.010916860818688257
KHM,1294469.53125,476267.0,0.010832254592996193
SUR,472645.75,127341.0,0.010717314611152773
DNK,19041228.5,9289839.999984741,0.010653664199922197
CYM,378705.697265625,101178.99999988079,0.01048453642789049
CHL,23929080.0,6627841.999984741,0.010425506664546447
HKG,62276246.0,14547093.0,0.010313269926398583
SWE,32145775.0,15099268.0,0.010283528414012366
PRT,6012017.75,7747736.999984741,0.010255277728776768
YEM,414821.046875,1111739.9999980927,0.01024311632205066
COG,988108.1875,307318.99999952316,0.010060814963086528
SWZ,103117.14453125,161601.99999976158,0.010042041424429549
BTN,34368.67236328125,51633.0,0.009517604914721645
COD,817774.234375,860063.0,0.009499325480488707
ATG,360332.8168945313,36438.999999940395,0.009305487201061169
ARM,243939.1484375,275082.99999952316,0.009247401038159353
ZAF,18953848.0,10549377.999984741,0.009129450203215761
CIV,964142.03125,552556.9999990463,0.008977825257239225
BEL,47328446.0,11084203.999984741,0.008917152621013003
PSE,184195.69921875,313732.99999952316,0.008684476577069944
ROU,4716754.75,5233536.999992371,0.008645795042938609
AZE,588822.921875,1168772.9999980927,0.008561698512488114
MAR,2675332.25,2647592.9999923706,0.008526534076969128
VUT,13808.4140625,21629.999999970198,0.008522211323525042
UKR,3016657.375,4264612.0,0.008474344920239574
LKA,3261148.75,1724903.9999961853,0.00843032665207577
NLD,84471488.0,17188578.999969482,0.008262190511731937
MDG,483161.03125,285947.0,0.008251017247196124
NPL,339200.890625,536496.9999990463,0.008205186736431891
CMR,440463.734375,675783.9999990463,0.008022862998835478
NGA,20755450.25,5982997.999984741,0.007970831126602462
BWA,89205.8203125,459210.9999990463,0.007940935985928377
CHE,58802742.0,14111746.999969482,0.007840478667131556
CPV,34222.823486328125,56136.99999988079,0.0078057709713696966
NZL,12762719.5,3444608.9999923706,0.00777147218251617
SYR,513831.90625,1487913.9999961853,0.007705610783648176
CUB,15465.98583984375,1613563.9999961853,0.007574148327749164
TGO,37312.4853515625,104334.99999976158,0.007553030074980427
ZMB,153080.5234375,428675.9999990463,0.0075175776816927
KGZ,141185.7861328125,152098.99999976158,0.007516022191689231
KEN,746292.40625,848511.0,0.007304719448919528
TUR,19535327.0,17359139.999969482,0.006949627317287543
MWI,146123.080078125,132674.99999976158,0.006838959158805835
WSM,38979.8671875,13774.999999970198,0.006809408679830931
RUS,36471050.0,34962302.999938965,0.0067599967017883955
QAT,2917802.125,2337594.0,0.0062437371182610946
IRQ,8428272.37890625,3485522.9999923706,0.0061680480134329585
SEN,145734.1015625,417035.9999990463,0.006135710491372848
SRB,505847.078125,860035.9999980927,0.006039835425264428
KOR,141174056.0,15094749.999969482,0.005959291048851512
GEO,293285.671875,288839.0,0.005827061080743157
PAK,5880136.25,3893209.9999923706,0.00567429681503917
IRN,724465.6875,7050733.999984741,0.005583111644336114
PRY,785279.78125,498653.0,0.005577701866643636
TCD,316134.2734375,110119.99999976158,0.00550715333558216
BFA,87978.58203125,157296.99999952316,0.005505690884066716
STP,7837.00634765625,5160.999999985099,0.005293888784407841
UGA,162228.0234375,368011.9999990463,0.005191694563144722
BGD,4673131.4375,1773197.0,0.005129614426047091
IND,81477974.0,27041165.999938965,0.005071682048440884
ARG,18918658.0,6296667.999984741,0.004988821726992221
EGY,7074746.5,4327608.999984741,0.004653503906393297
MLI,117191.0859375,138535.99999952316,0.0042062458840641526
AFG,92800.90698242188,219841.0,0.003980946224846349
HTI,1442820.25,94865.99999952316,0.003913257260945713
LBR,132944.08203125,14369.999999940395,0.003857687725306036
ESP,42483310.0,17992472.999938965,0.003831827891209727
RWA,117397.95703125,73360.99999976158,0.0036888708168758555
BEN,44366.4384765625,88262.99999952316,0.003669469901268485
NER,119811.49609375,89915.99999952316,0.0035582785406385042
SLE,84468.23046875,36486.99999988079,0.003553590495730674
PNG,128283.875,159832.99999904633,0.0035334685938970267
IDN,37345566.0,8037857.999969482,0.0033767040879428833
TJK,66589.34521484375,64847.99999976158,0.0033361505511253498
MOZ,85059.93359375,149465.0,0.003253071857267642
DJI,22510.548828125,14102.999999940395,0.0030455048371180737
FRA,107797856.0,22567797.99987793,0.002954907692087616
ECU,9812580.0,540483.0,0.0028566847214195334
BRA,96623176.0,17162262.99987793,0.0027641782794907144
MNE,81476.9375,44484.99999976158,0.002703190319652826
GMB,15639.9619140625,10048.999999940395,0.0026956210000150804
ITA,95505772.0,16535050.0,0.002686903636117677
CAF,13161.22021484375,15426.0,0.002436538986883008
GUY,41861968.890625,2801848.999984741,0.0023053887582502597
PRK,9270.873657226562,82737.99999952316,0.0021522308367494247
GBR,155846280.0,16228410.99987793,0.002080550622274302
GIN,210629.64453125,34387.99999976158,0.002055757108965217
ERI,38362.56298828125,15981.99999988079,0.002018245331791846
BDI,24721.984375,9593.99999988079,0.0012602380301096616
LAO,31861.62109375,21043.99999976158,0.001000896014513586
DEU,271554080.0,4459889.99987793,0.0004985223406972494
KAZ,3112597.0,93828.9999923706,0.0002058639750668334
SOM,4684.97216796875,422.99999994039536,0.00011820498930781298
MCO,53474.330078125,2013.9999997615814,0.00011551909571139163
LIE,85031.373046875,1939.9999997615814,0.00011188823545449367
MMR,336746.16796875,1290.9999980926514,9.633251374374652e-06
JPN,326602176.0,22814150.00024414,-0.0012907415180118953
UZB,579141.2734375,191770.00000190735,-0.0013717381194489064
AUS,95570286.0,10408235.000061035,-0.0027709501304373774
VEN,111413954.0,7390647.000015259,-0.006811795816885624
COL,31861602.0,6175797.000015259,-0.007079195845960395
LBY,45471.993896484375,1051729.0000019073,-0.00773502140664073
THA,51851082.0,10202681.000015259,-0.00855275403284228
EST,1032329.0,579141.0000009537,-0.009274635128309061
PHL,32187226.0,9401635.000015259,-0.012797674418163485
MYS,57672498.0,11949630.0,-0.015128051352519822
SGP,96271268.0,21749360.00001526,-0.020717685249049822
IRL,61411240.0,13669452.00000763,-0.026077907738797368
KWT,16169723.0,7417247.000003815,-0.026149514148543496
CAN,854244000.0,405519254.00006104,-0.0771723579380823
MEX,466219376.0,330860314.00006104,-0.09811631851871505
